NomenclatureCode,Nomenclature,ProductGroup,ProductGroupDescription,ProductCode,ProductDescription
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,70910,"Globe artichokes, fresh or chilled"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,70920,"Asparagus, fresh or chilled"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,70930,"Aubergines, fresh or chilled"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,70940,"Celery, fresh or chilled"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,70951,"Mushrooms, fresh or chilled"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,70952,"Truffles, fresh or chilled"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,70960,"Fruits of genus Capiscum or Pimenta, fresh or c"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,70970,"Spinach, fresh or chilled"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,70990,"Other vegetables, fresh or chilled, nes"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,71010,"Potatoes, frozen"
